date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:25:27	33631/33631	---M-Z	200	added ('OK')	text/html	etag:%22155e130b-835f-56142be0fde00%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-color-light-blue.html	C:/Users/KASHIF%20KAZMI/Desktop/blue/pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-color-light-blue.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/)
11:25:27	33229/33229	---M-Z	200	added ('OK')	text/html	etag:%22155e1303-81cd-56142be0fde00%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-color-cyan.html	C:/Users/KASHIF%20KAZMI/Desktop/blue/pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-color-cyan.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/)
11:25:27	33229/33229	---M-Z	200	added ('OK')	text/html	etag:%22155e1314-81cd-56142be0fde00%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-color-teal.html	C:/Users/KASHIF%20KAZMI/Desktop/blue/pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-color-teal.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/)
11:25:28	33296/33296	---M-Z	200	added ('OK')	text/html	etag:%22155e1307-8210-56142be0fde00%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-color-green.html	C:/Users/KASHIF%20KAZMI/Desktop/blue/pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-color-green.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/)
11:25:28	33229/33229	---M-Z	200	added ('OK')	text/html	etag:%22155e130d-81cd-56142be0fde00%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-color-lime.html	C:/Users/KASHIF%20KAZMI/Desktop/blue/pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-color-lime.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/)
11:25:28	33363/33363	---M-Z	200	added ('OK')	text/html	etag:%22155e1316-8253-56142be0fde00%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-color-yellow.html	C:/Users/KASHIF%20KAZMI/Desktop/blue/pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-color-yellow.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/)
11:25:28	33296/33296	---M-Z	200	added ('OK')	text/html	etag:%22155e12ff-8210-56142be0fde00%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-color-amber.html	C:/Users/KASHIF%20KAZMI/Desktop/blue/pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-color-amber.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/)
11:25:29	33363/33363	---M-Z	200	added ('OK')	text/html	etag:%22155e130e-8253-56142be0fde00%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-color-orange.html	C:/Users/KASHIF%20KAZMI/Desktop/blue/pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-color-orange.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/)
11:25:29	33698/33698	---M-Z	200	added ('OK')	text/html	etag:%22155e1305-83a2-56142be0fde00%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-color-deep-orange.html	C:/Users/KASHIF%20KAZMI/Desktop/blue/pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-color-deep-orange.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/)
11:25:29	30970/30970	---M-Z	200	added ('OK')	text/html	etag:%22155e1302-78fa-56142be0fde00%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-color-brown.html	C:/Users/KASHIF%20KAZMI/Desktop/blue/pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-color-brown.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/)
11:25:29	31162/31162	---M-Z	200	added ('OK')	text/html	etag:%22155e1300-79ba-56142be0fde00%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-color-blue-grey.html	C:/Users/KASHIF%20KAZMI/Desktop/blue/pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-color-blue-grey.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/)
11:25:31	30922/30922	---M-Z	200	added ('OK')	text/html	etag:%22155e1308-78ca-56142be0fde00%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-color-grey.html	C:/Users/KASHIF%20KAZMI/Desktop/blue/pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-color-grey.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/)
11:25:31	30825/30825	---M-Z	200	added ('OK')	text/html	etag:%22155e1349-7869-56142be0fde00%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-player.html	C:/Users/KASHIF%20KAZMI/Desktop/blue/pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-player.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/)
